,p_val,mean_eff_size,abs_eff_size,low_eff_size,upper_eff_size,band
"('Fp1', 'F4')",0.0,-0.4451311863046956,0.4451311863046956,-0.540568618625729,-0.3661183727328263,theta
"('F7', 'T3')",5.9999999999999995e-05,-0.44374474324923874,0.44374474324923874,-0.5151882271173174,-0.34061711086483426,delta
"('F4', 'T5')",0.0,-0.44105580002623074,0.44105580002623074,-0.5049146962054556,-0.3874900050584055,alpha2
"('Fp2', 'F4')",2e-05,-0.43971164683059777,0.43971164683059777,-0.5010403916465195,-0.3181586506605092,delta
"('F7', 'C3')",0.0,-0.43875812892869626,0.43875812892869626,-0.5712832890937585,-0.33561793504743886,alpha1
"('F4', 'C3')",0.0,-0.4323085918671574,0.4323085918671574,-0.5498553045445785,-0.3715260315304443,beta1
"('F8', 'Cz')",0.0,-0.4322204634605457,0.4322204634605457,-0.5112081813168937,-0.31881566848787374,alpha2
"('O2', 'P3')",2e-05,0.4321299908917234,0.4321299908917234,0.38048487829724065,0.5007875288188641,delta
"('P3', 'Pz')",0.0,-0.4319827732467309,0.4319827732467309,-0.5631625860880296,-0.33743279314489427,alpha2
"('F7', 'F3')",0.0,-0.43196301651715724,0.43196301651715724,-0.5525015570404419,-0.35123888318160945,theta
"('T5', 'O1')",0.0,-0.43056960372027875,0.43056960372027875,-0.5392399145382456,-0.35047519650944,beta2
"('F4', 'F8')",0.0,-0.43028426552578347,0.43028426552578347,-0.5505967586055814,-0.3053715584016393,gamma
"('F8', 'C3')",0.0,0.42877645556331234,0.42877645556331234,0.3615589557584244,0.5377822658872338,gamma
"('Fp1', 'C3')",0.0,-0.42850151153299854,0.42850151153299854,-0.5402784102137577,-0.2812095788545417,beta2
"('T4', 'Cz')",0.0,-0.42786746781287155,0.42786746781287155,-0.5333980117587687,-0.23570338752135178,alpha2
"('Fp2', 'F3')",4e-05,-0.4271923393395126,0.4271923393395126,-0.5017360221673042,-0.346513822823111,theta
"('F4', 'Cz')",0.0001,-0.42693295822948996,0.42693295822948996,-0.5409147502651147,-0.3094298918229931,alpha1
"('F4', 'O1')",0.0,-0.4264041418753298,0.4264041418753298,-0.470267247360883,-0.38452842400785014,alpha2
"('O1', 'C4')",0.0,0.4258889039798387,0.4258889039798387,0.32560242286556895,0.5214878355200385,alpha1
"('O2', 'C3')",0.0,0.42477709293597565,0.42477709293597565,0.3313568609803253,0.5512828289944363,beta2
"('Fp1', 'T3')",2e-05,-0.42430739584698685,0.42430739584698685,-0.5104797133781293,-0.31931369218968697,theta
"('Fz', 'Cz')",0.0,-0.42365221228511063,0.42365221228511063,-0.5386782087799683,-0.2810912636332926,beta1
"('Fp1', 'T3')",0.0,-0.42352394860134684,0.42352394860134684,-0.531941059876663,-0.3519072806173442,alpha1
"('O1', 'Cz')",0.0,0.4235073704486467,0.4235073704486467,0.32869999008717715,0.4992320356450373,alpha1
"('F7', 'C3')",0.0,-0.42289285380937763,0.42289285380937763,-0.5561030879407391,-0.3475488159784176,beta1
"('F3', 'F4')",0.0,-0.42285399288370396,0.42285399288370396,-0.5187600884033048,-0.22316950787858392,beta1
"('F4', 'F8')",0.0,-0.42145115983170045,0.42145115983170045,-0.6124262921699231,-0.2621478404181778,alpha1
"('Fp2', 'T5')",0.0,-0.4202758417212732,0.4202758417212732,-0.5995270242771252,-0.3195954907309913,alpha2
"('F8', 'T4')",0.0,-0.42026335253363334,0.42026335253363334,-0.5188722856155323,-0.31318933565745233,beta2
"('F4', 'Pz')",5.9999999999999995e-05,-0.41979517175089276,0.41979517175089276,-0.5629799082615082,-0.3117299508770909,alpha2
"('C3', 'Pz')",0.0,-0.41847796437821644,0.41847796437821644,-0.5629654252877093,-0.2645542067354312,alpha2
"('F7', 'F4')",0.0,-0.4178679758413673,0.4178679758413673,-0.4886565968055291,-0.33516322498282664,alpha1
"('O2', 'P3')",0.0,0.4158046526410274,0.4158046526410274,0.33469359144722793,0.5004109428270433,beta2
"('F3', 'C3')",0.0,-0.4139119950497728,0.4139119950497728,-0.5064824176545395,-0.3016387774090191,beta2
"('F8', 'T4')",8e-05,-0.4112099131150394,0.4112099131150394,-0.5257507092053502,-0.3524187610546652,beta1
"('Fp2', 'C3')",0.0005200000000000001,-0.4109293803717861,0.4109293803717861,-0.5554714857269869,-0.2676366718477104,alpha2
"('T3', 'P3')",8e-05,-0.4098850672917999,0.4098850672917999,-0.4582657196528302,-0.3232536210643531,alpha2
"('F3', 'C3')",2e-05,-0.40977459316337805,0.40977459316337805,-0.5137782995715765,-0.30569077723128546,delta
"('Fp2', 'C3')",2e-05,-0.40958962480943706,0.40958962480943706,-0.4719520965944696,-0.3143474696412327,delta
"('Fp2', 'F4')",5.9999999999999995e-05,-0.4092502598437724,0.4092502598437724,-0.5983554584273867,-0.23532287082897313,theta
"('F4', 'T4')",0.0,-0.40892679086623884,0.40892679086623884,-0.5294531078131343,-0.32514302673395434,alpha2
"('F3', 'C3')",0.0,-0.4079584323733787,0.4079584323733787,-0.47230038056720625,-0.2962020990623103,alpha2
"('T6', 'O2')",0.0,-0.40754114128751906,0.40754114128751906,-0.5409417669591167,-0.2802784490018866,beta2
"('T3', 'O2')",0.00011999999999999999,-0.40680246904355305,0.40680246904355305,-0.519256250713148,-0.33997336218737295,alpha2
"('T6', 'P3')",0.0,0.4067943762568751,0.4067943762568751,0.31661539323208165,0.5873530953744208,alpha1
"('F4', 'C4')",5.9999999999999995e-05,-0.4060244327566503,0.4060244327566503,-0.5153915053592433,-0.24103468888687374,alpha2
